name,latitude,longitude
Wynnstay,52.966670,-3.03333
Wymondham,52.7597800,-0.74055
Wymondham,52.5701206,1.11622998
Wymington,52.268809999999995,-0.60266000
Wymeswold,52.80536,-1.11287999
Wylye,51.13715,-1.98945998
Wylde Green,52.533330,-1.81667
Wylam,54.97654,-1.82187
Wyke Regis,50.5911200,-2.47327
Wyken,52.41667,-1.46667000
Wykeham,54.23333,-0.51667
Wyke,53.73333,-1.76667
Wye,51.18249,0.93678
Wyddial,51.96452,-0.00368999997
Wycliffe,54.5227800,-1.81824
Wyck Rissington,51.892186,-1.72386
Wych Cross,51.0647,0.0218
Wybunbury,53.045420,-2.45207
Wyberton,52.9516400,-0.04137
Wroxton,52.07282,-1.39709
Wroxham,52.70445,1.40582
Wroxeter,52.670420,-2.64759
Wroxall,52.33791,-1.66898
Wroxall,50.61625,-1.22292
Wroughton,51.52411,-1.79559000
Wrotham,51.30856,0.30899
Wroot,53.52336,-0.92872000
Wrockwardine,52.70449,-2.55678
Writtle,51.72906,0.429380000
Wrington,51.36173,-2.76319000
Wrinehill,53.02072,-2.36943
Wrexham,53.0466400,-2.99132
Wrestlingworth,52.110409999999995,-0.16342
Wressell,53.773730,-0.92474
Wrentham,52.38367,1.66692000
Wrenbury,53.0251,-2.60742000
Wrecclesham,51.19859,-0.81281
Wreay,54.83191,-2.88046
Wrea Green,53.776509999999995,-2.91573
Wray,54.10275,-2.60888
Wraxall,51.44417,-2.73139
Wrawby,53.56672,-0.461939996
Wrangle,53.03935,0.12989
Wrangaton,50.40742,-3.86093
Wramplingham,52.6143704,1.12072000
Wragby,53.283330,-0.3
Wrafton,51.1,-4.15
Wrabness,51.93335,1.16117999
Wouldham,51.34986,0.45816
Wotton Underwood,51.83822,-1.00292999
Wotton-under-Edge,51.63242,-2.34512
Wotton,51.21723,-0.3901
Worton,51.316109999999995,-2.04110998
Wortley,53.48333,-1.53332999
Worting,51.26447,-1.13656
Worth Matravers,50.598,-2.03835
Worthington,52.78034,-1.39767
Worthing,52.73333,0.95
Worthing,50.81795,-0.37538
Worthenbury,53.00915,-2.86587998
Worthen,52.6357704,-2.99514
Wortham,52.35311,1.05769
Worth,51.25633,1.3484
Worth,51.1121200,-0.14686
Worsthorne,53.78759,-2.19105
Worstead,52.7833,1.41293999
Worsley,53.4989995,-2.38079
Worsbrough Bridge,53.5296800,-1.4694
Worsborough,53.5298,-1.47243
Worplesdon,51.27268,-0.61236
Wormshill,51.285386,0.6972
Wormley,51.7324,-0.0242
Wormleighton,52.17893,-1.34514
Wormit,56.42541,-2.97774000
Wormington,52.02636,-1.94122000
Worminghall,51.77043,-1.07365
Wormingford,51.94876,0.80861
Wormegay,52.67815,0.45782
Worlingworth,52.26912,1.25383
Worlington,52.33505,0.48748
Worlingham,52.4505400,1.59456
Worleston,53.10495,-2.51229
Worle,51.36033,-2.9259
Worlaby,53.6113,-0.46685
Worlaby,53.26667,0.0166699997
Worksop,53.301820,-1.12404
Workington,54.6425,-3.54413000
Worfield,52.55806,-2.35765
Wordwell,52.315986,0.68106
Wordsley,52.48121,-2.16503
Worcester Park,51.37992,-0.24445
Worcester,52.18935,-2.22001
Wootton Wawen,52.26812,-1.7806
Wootton Rivers,51.3677,-1.71869
Wootton Glanville,50.86667,-2.45
Wootton Fitzpaine,50.75697,-2.89919
Wootton Bridge,50.72445,-1.23691
Royal Wootton Bassett,51.5419,-1.9045
Wootton,53.63021,-0.353280000
Wootton,53.0,-1.85
Wootton,52.20166,-0.88517000
Wootton,52.09525,-0.53494
Wootton,51.70661,-1.31561
Wootton,51.1738,1.1794
Wootton,50.72847,-1.23536
Wooton Saint Lawrence,51.27413,-1.15144
Woore,52.97701,-2.40235
Wooperton,55.47668,-1.93685
Woonton,52.16667,-2.95
Woolwich,51.491000,0.0648
Woolverton,51.2844400,-2.29778
Woolverstone,51.99984,1.1856
Woolton,53.37401,-2.87
Woolstone,52.03333,-0.71667
Woolstone,51.97043,-2.05955
Woolstone,51.58806,-1.57782998
Woolston,50.89305,-1.37801
Woolsthorpe by Belvoir,52.8969,-0.75676
Woolstaston,52.5808300,-2.81000997
Woolpit,52.2245400,0.88826
Woolley,53.61339,-1.51457
Woolland,50.86189,-2.31808
Woolhope,52.018,-2.56665997
Woolfardisworthy,50.96465,-4.37702
Woolfardisworthy,50.86667,-3.66667
Wooler,55.54755,-2.01186
Woolaston,51.6991,-2.58800997
Woolacombe,51.1729606,-4.20689000
Wool,50.67966,-2.2189
Wookey,51.2097200,-2.69225
Woofferton,52.3126,-2.70515
Wood Walton,52.4122606,-0.215690000
Woodville,52.7691800,-1.53447998
Woodton,52.495480,1.37617000
Woodstock,51.8485,-1.35132
Woodside,57.35,-4.2
Woodside,56.51667,-3.28333000
Woodside,52.5,-2.11667
Woodsford,50.7136400,-2.33747
Woodsetts,53.3480400,-1.17204
Woodseats,53.3340300,-1.48654
Woodrising,52.59072,0.93363
Woodplumpton,53.8073,-2.75915
Wood Norton,52.8166705,0.98332999
Woodnewton,52.536330,-0.472539996
Woodmancote,50.91667,-0.24565
Woodley,53.4333300,-2.1
Woodley,51.45,-0.88333
Woodlesford,53.7561900,-1.45513
Woodleigh,50.3277400,-3.7486
Woodland,54.633309999999994,-1.88922000
Woodland,50.5,-3.7
Woodhurst,52.36667,-0.066670000
Woodhouse Mill,53.36407,-1.33776
Woodhouse,53.35762,-1.37278
Woodhouse,52.73369,-1.20282998
Woodhorn,55.193480,-1.53329
Woodham Mortimer,51.709109999999995,0.6233
Woodham Ferrers,51.6667,0.59798000
Woodham,54.633330,-1.55
Woodhall Spa,53.15215,-0.214530000
Wood Green,51.6,-0.116670000
Woodford Green,51.60938,0.02329
Woodford,53.3333300,-2.16667
Woodford,52.38231,-0.58099
Woodford,51.6,0.0166699997
Woodford,51.11667,-1.83333
Wood Dalling,52.8004205,1.09857
Woodcott,51.29214,-1.37801
Woodcote,52.73333,-2.33333
Woodchurch,53.366670,-3.08333
Woodchurch,51.07605,0.77346
Woodchester,51.72155,-2.23286
Woodburn,54.727080,-5.83746
Woodbridge,52.09332,1.32042000
Woodborough,53.02319,-1.06029
Woodborough,51.33852,-1.83975998
Wooburn,51.57888,-0.693
Wonston,51.1524305,-1.32046
Wonersh,51.19828,-0.54416999
Wonastow,51.7928,-2.76598
Womersley,53.66743,-1.20159
Womenswold,51.20936,1.18703999
Wombwell,53.52189,-1.39697999
Wombridge,52.70071,-2.45919
Wombourn,52.533330,-2.18332998
Wolviston,54.62333,-1.29946
Wolvey,52.4862604,-1.36935
Wolvesnewton,51.69338,-2.79104
Wolverton,52.25828,-1.69859
Wolverton,52.0624604,-0.81658999
Wolverton,51.32375,-1.20867000
Wolverley,52.41667,-2.25
Wolverhampton,52.5854704,-2.12296
Wolston,52.37717,-1.39544
Wolstanton,53.03001,-2.21608
Wolsingham,54.73085,-1.88319000
Wollaston,52.7,-3.0
Wollaston,52.45,-2.16667
Wollaston,52.2579400,-0.67038
Great Wolford,52.00902,-1.63845
Wolfhamcote,52.27819,-1.23021
Wolferton,52.829470,0.46145
Wolfelee,55.366670,-2.65
Wold Newton,54.1428,-0.39993
Wold Newton,53.45,-0.13333
Woldingham,51.2852700,-0.03372
Wokingham,51.4112,-0.83565
Woking,51.31903,-0.55893
Woburn Sands,52.01579,-0.64982
Woburn,51.98865,-0.61903
Wixford,52.1891700,-1.87148
Wix,51.9123,1.14296
Wiveton,52.94345,1.03885
Wivenhoe,51.85553,0.95796
Wivelsfield Green,50.96313,-0.071329999
Wivelsfield,50.96908,-0.09089
Wiveliscombe,51.04139,-3.31278000
Witton le Wear,54.67565,-1.77387
Witton Gilbert,54.8057204,-1.63686
Witton,52.51667,-1.88333
Witton,52.8333300,1.46667000
Wittersham,51.0139400,0.70788999
Wittering,52.606980,-0.440480000
Wittenham,51.63333,-1.21667000
Witney,51.7836,-1.4854
Witnesham,52.10507,1.1855
Witley,51.14993,-0.64768
Withypool,51.1075,-3.64944000
Withyham,51.10118,0.13265
Withycombe,51.16191,-3.40945
Withybrook,52.45292,-1.3611
Withnell,53.69333,-2.55635997
Withleigh,50.90083,-3.54881
Withington,52.716670,-2.6
Withington,52.1,-2.63333
Withington,51.83825,-1.94885998
Withiel,50.453999,-4.82643
Withersfield,52.10735,0.41877
Withernwick,53.8488605,-0.18742
Withernsea,53.73115,0.03195
Witheridge,50.9174306,-3.70350996
Withcote,52.64499,-0.82348999
Withcall,53.33575,-0.075260000
Witham,51.80007,0.64038000
Witchingham,52.73333,1.11667
Witchford,52.3869900,0.206019998
Witchampton,50.858909999999995,-2.017
Witcham,52.39844,0.14935
Wistow,53.8166705,-1.1
Wistow,52.412,-0.121970000
Wiston,55.5666705,-3.63333000
Wiston,51.8258306,-4.87
Wistaston,53.0807800,-2.47741
Wistanstow,52.46468,-2.83764
Wissington,51.96545,0.84654
Wissett,52.3610605,1.47316
Wisley,51.3227,-0.476489997
Wishaw,55.76667,-3.91667
Wishaw,52.54864,-1.74587999
Wisborough Green,51.02308,-0.50603999
Wisbech Saint Mary,52.65218,0.097679999
Wisbech,52.6662206,0.15938
Wirksworth,53.0823206,-1.57391000
Winwick,53.4333300,-2.6
Winwick,52.41302,-0.37774
Wintringham,54.1459,-0.64759
Winton,54.4904800,-2.33115997
Winton,50.73333,-1.86667
Winthorpe,53.1666706,0.33333
Winthorpe,53.1,-0.78333
Winterton,53.65497,-0.59885
Winterton-on-Sea,52.7154706,1.69099000
Winterslow,51.09717,-1.66307
Winteringham,53.68727,-0.59183
Winterbourne Stoke,51.16729,-1.89805999
Winterbourne Monkton,51.4469400,-1.85635998
Winterbourne Gunner,51.11608,-1.74436
Winterbourne Earls,51.10635,-1.75497000
Winterbourne Dauntsey,51.11223,-1.74996
Winterbourne Bassett,51.4727,-1.85194000
Winterbourne,51.4460900,-1.3466
Winterborne Stickland,50.84078,-2.23556
Winterborne Steepleton,50.7,-2.53333
Winterborne Monkton,50.6920400,-2.45322
Winterborne Kingston,50.777886,-2.19762
Winterborne Abbas,50.71667,-2.55
Winston,54.5451900,-1.78854000
Winster,54.3166705,-2.88333
Winster,53.1418,-1.64258
Winson,51.77681,-1.86922
Winslow,51.9428400,-0.88131
Winsham,50.8536400,-2.8892
Winsford,53.19146,-2.52398
Winsford,51.10194,-3.56528000
Winnington,53.26367,-2.53329
Winnersh,51.42747,-0.87993999
Winmarleigh,53.92632,-2.80328
Winlaton,54.9532205,-1.71923
Winksley,54.13666,-1.61764
Winkleigh,50.85581,-3.943
Winkfield,51.44228,-0.69825
Wingrave,51.8649400,-0.74244
Wingham,51.271686,1.21462999
Wingfield,52.3471605,1.27115
Wingfield,51.31345,-2.26038
Wingerworth,53.202,-1.43359
Wingates,55.25,-1.85
Wingate,54.73242,-1.37896
Wing,52.61775,-0.6827
Wing,51.89524,-0.71956000
Winfrith Newburgh,50.6624606,-2.27428
Winforton,52.11724,-3.02602
Winford,51.38333,-2.66111
Winfarthing,52.43056,1.0979
Winestead,53.70202,-0.03268
Windsor,54.5666705,-5.95
Windsor,51.48333,-0.6
Windrush,51.81688,-1.72254000
Windley,53.00388,-1.54548
Windlesham,51.36509,-0.65476
Windermere,54.38086,-2.90709
Winder,54.547970,-3.47314000
Wincobank,53.420609,-1.42111
Winchmore Hill,51.63333,-0.1
Winchfield,51.2859200,-0.91022999
Winchester,51.0651306,-1.3187
Winchelsea,50.92519,0.70736999
Winchcombe,51.95363,-1.96397998
Wincanton,51.05676,-2.40574
Wimborne St Giles,50.9,-1.95
Wimborne Minster,50.78333,-1.98333
Wimblington,52.50925,0.08416
Wimbledon,51.42212,-0.20805
Wimbish,52.00615,0.3206
Wilton,55.4333300,-2.78333
Wilton,54.5666705,-1.1
Wilton,51.91667,-2.6
Wilton,51.07926,-1.8621
Wilton,51.0,-3.1
Wilsthorpe,52.7,-0.36667
Wilsontown,55.7790206,-3.67754
Wilstead,52.08088,-0.448889996
Wilsford,51.3,-1.85
Wilsden,53.8208400,-1.85959
Wilpshire,53.78671,-2.47548
Wilnecote,52.60649,-1.65808
Wilmslow,53.3280300,-2.23148
Wilmington,51.4263200,0.20037
Wilmington,50.81971,0.19252
Wilmcote,52.22081,-1.76528
Willstone,52.55,-2.75
Willoughton,53.427380,-0.60063
Willoughby on the Wolds,52.82199,-1.05502
Willoughby,53.22419,0.19963
Willoughby,52.30087,-1.23785
Williton,51.16236,-3.32208
Willington Quay,54.99255,-1.49489
Willington,54.716670,-1.7
Willington,52.8520300,-1.56332
Willington,52.13409,-0.37235
Willingham,53.35,-0.68333
Willingham,52.3140400,0.05776
Willingdon,50.80008,0.255
Willingale Doe,51.75,0.31667
Wilford,52.92573,-1.16
Willey,52.5833300,-2.48333
Willey,52.45,-1.26667
Willesden Green,51.5471,-0.22899
Willesden,51.53333,-0.23333
Willesborough,51.13865,0.89572999
Willersley,52.11984,-3.00655
Willerby,54.1833300,-0.45
Willerby,53.76099,-0.441860000
Willenhall,52.58514,-2.05934
Willen,52.0641,-0.72312
Willaston,53.2955,-2.99732
Willaston,53.0666705,-2.48333
Willand,50.88333,-3.36666996
Wilden,52.18272,-0.39645
Wilcott,52.76328,-2.92713
Wilcote,51.83705,-1.45947
Wilcot,51.3490900,-1.79575
Wilby,52.470520,0.99172999
Wilby,52.30055,1.28514
Wilby,52.2868,-0.72905
Wilburton,52.35191,0.17673
Wilberfoss,53.94854,-0.88945
Wilbarston,52.48636,-0.8033
Wigtown,54.8678300,-4.44489
Wigton,54.8248205,-3.16114
Wigtoft,52.90818,-0.122909999
Wigston Parva,52.50663,-1.31574
Wigston Magna,52.581280,-1.09248
Wigmore,52.31474,-2.85802000
Wighton,52.92236,0.88354
Wiggonby,54.86733,-3.09802
Wigglesworth,54.009580,-2.29271
Wigginton,54.017170,-1.0831
Wigginton,52.657280,-1.6925
Wigginton,51.99727,-1.435
Wigginton,51.78329,-0.63875
Wiggenhall St Peter,52.6833300,0.36667
Wiggenhall Saint Germans,52.6994605,0.35597
Wigan,53.54296,-2.63706
Wield,51.1448700,-1.09518999
Widworthy,50.78815,-3.11131
Widows Row,54.1948800,-5.88356
Widnes,53.3618,-2.73406
Widmerpool,52.84819,-1.0667
Widford,51.823209,0.05897
Widford,51.7,0.45
Widecombe in the Moor,50.5762,-3.81221
Widdrington,55.25,-1.58333
Widdington,51.96103,0.23749
Wickwar,51.59404,-2.39968
Wick Saint Lawrence,51.38472,-2.91027998
Wickhampton,52.59255,1.57965
Wickham Market,52.15298,1.36299
Wickhambrook,52.17127,0.54846000
Wickham Bishops,51.7783,0.66823
Wickham,51.44342,-1.432
Wickham,50.89924,-1.18815
Wickford,51.61101,0.52331
Wickersley,53.42128,-1.28115
Wickenby,53.32244,-0.36851
Wicken Bonhunt,51.97809,0.18222
Wicken,52.31278,0.29719
Wicken,52.0472604,-0.91311000
Wick,58.43906,-3.09424
Wick,52.10475,-2.05725
Wick,51.45306,-2.42361
Wick,51.4394400,-3.54944
Wick,50.8234,-0.54327
Wychnor,52.74329,-1.73987999
Wichling,51.26667,0.75
Wibtoft,52.4856606,-1.29457998
Wibsey,53.76778,-1.78114000
Whyteleafe,51.30808,-0.08429
Whorlton,54.4166706,-1.25
Whixley,54.014309999999995,-1.32256
Whixall,52.9054,-2.72097
Whitworth,53.656009999999995,-2.1771
Whitwick,52.739970,-1.35536000
Whitwell,53.283330,-1.21667000
Whitwell,52.75,1.1
Whitwell,51.87644,-0.283159997
Whitwell,50.5984400,-1.2642
Whittonstall,54.90919,-1.88845
Whitton,51.44941,-0.356880000
Whitton,55.48333,-2.38333
Whitton,53.7,-0.63333000
Whitton,52.3,-3.06667000
Whitton,52.08333,1.13333
Whittlesford,52.11345,0.149690000
Whittlesey,52.5580400,-0.13016
Whittlebury,52.0902700,-0.9922
Whittington,54.1666706,-2.6
Whittington,53.26667,-1.4
Whittington,52.8732,-3.00304
Whittington,52.6737206,-1.76090998
Whittington,51.89085,-1.98860998
Whittingham,55.40115,-1.8934
Whittingehame,55.95227,-2.63268
Whitstable,51.3607,1.0257
Whitsome,55.74876,-2.21758
Whitsbury,50.97118,-1.81965
Whitrigg,54.9,-3.2
Whitney,52.11667,-3.08333
Whitnash,52.27047,-1.52186
Whitmore,52.966670,-2.28333
Whitleybridge,53.69523,-1.15691
Whitley Bay,55.0397300,-1.44713
Whitley,53.6833300,-1.15
Whitley,52.39509,-1.49345
Whitland,51.81889,-4.61528
Whitkirk,53.80014,-1.455
Whitington,52.5641206,0.5303
Whithorn,54.7323204,-4.41559
Witherley,52.5763,-1.51907000
Whitgreave,52.85111,-2.14979000
Whitgift,53.69534,-0.76713
Whitford,53.283330,-3.28333000
Whitfield,54.9,-2.33333
Whitfield,52.05,-1.11667
Whitfield,51.16126,1.29003999
Whitewell,53.9186606,-2.52059000
White Waltham,51.49225,-0.77238999
Whitewall Corner,54.116670,-0.78333
Whitestone,50.7282,-3.60256996
Whitesides Corner,54.8,-6.35
White Roding,51.7988400,0.26571
Whiteparish,51.01041,-1.64855
White Notley,51.83549,0.59034
Whitekirk,56.024420,-2.65007
Whiteinch,55.8729800,-4.33089
Whitehouse Upper,54.633330,-5.91667
Whitehouse,54.65,-5.91667
Whitehouse,57.216670,-2.61667
Whitehouse,55.783330,-5.48333000
Whitehills,57.6773,-2.57863
Whitehead,54.75371,-5.70933000
Whitehaven,54.54897,-3.58411995
Whitehall,59.14,-2.602
Whitegate,53.216670,-2.55
Whitefield,53.55,-2.3
Whitefarland,55.61714,-5.39231
Whitecroft,51.75383,-2.55194
Whitechurch,51.9941700,-4.69611
Whitechurch,50.8,-2.23333
Whitechapel,51.51382,-0.06583
White Bridge,56.65,-4.0
White Ball,50.96188,-3.28833
Whiteabbey,54.66704,-5.89878
Whitcombe,50.68333,-2.4
Whitchurch Canonicorum,50.7552,-2.86017
Whitchurch,52.966670,-2.68332998
Whitchurch,51.8816,-0.83783999
Whitchurch,51.85,-2.65
Whitchurch,51.51167,-3.22083
Whitchurch,51.49266,-1.08825
Whitchurch,51.40606,-2.56265
Whitchurch,51.22995,-1.33904
Whitchurch,52.13412,-1.68953
Whitchurch,50.53333,-4.13333
Whitby,54.48774,-0.61498
Whitburn,55.866670,-3.68333
Whitburn,54.95333,-1.36861
Whitbourne,52.2107,-2.40578
Whitbeck,54.24346,-3.35308000
Whiston,53.40851,-1.3151
Whiston,52.2378400,-0.75711000
Whissonsett,52.77205,0.84167
Whisby,53.2,-0.65
Whipsnade,51.851286,-0.53446
Whippingham,50.73747,-1.26862
Whimple,50.7664900,-3.35655
Whickham,54.945609999999995,-1.67635
Whetstone,52.5666705,-1.18333
Whetstone,51.63333,-0.16667
Wherwell,51.16697,-1.44299
Wherstead,52.02262,1.13832
Whepstead,52.19209,0.68158
Whenby,54.1213,-1.03882
Whempstead,51.8711900,-0.08463
Whelford,51.68829,-1.75769000
Wheldrake,53.89624,-0.96302999
Wheelock,53.12875,-2.37292
Wheaton Aston,52.71145,-2.22064
Wheatley,51.74731,-1.13936
Wheathampstead,51.811486,-0.293709997
Whauphill,54.8181,-4.48531
Whatton,52.94605,-0.8917
Whatstandwell,53.0844300,-1.50386
Whatlington,50.93782,0.50529
Whatfield,52.07866,0.95117999
Whatcote,52.09905,-1.56313
Wharton,53.1949605,-2.50483
Wharram Percy,54.0675,-0.68968000
Wharram le Street,54.08197,-0.67873
Wharncliffe Side,53.4503,-1.55335
Whaplode,52.79934,-0.03639
Whalton,55.12699,-1.79752
Whalley,53.82209,-2.40712
Whaligoe,58.35,-3.16667
Whaley Bridge,53.33031,-1.9826
Whaddon,52.10105,-0.03442
Whaddon,52.00042,-0.82801
Weymouth,50.61448,-2.45991
Weyhill,51.21925,-1.55015
Weybridge,51.37178,-0.45975
Weybread,52.3743900,1.29587
Weybourne,52.9429204,1.14095
Wetwang,54.0175,-0.57738
Wetton,53.09536,-1.83857999
Wetleyrocks,53.033330,-2.05
Wethersfield,51.95358,0.48885
Wetheringsett,52.2570200,1.11477
Wetherby,53.92836,-1.38672000
Wetheral,54.884009,-2.83327
West Wratting,52.14265,0.34676
West Worthing,50.81046,-0.39027
West Worlington,50.90702,-3.75092
West Worldham,51.1258,-0.94082999
West Woodhay,51.3646,-1.43808999
West Woodburn,55.17637,-2.17096
Westwood,51.33462,-2.27975
West Witton,54.291370,-1.90767998
West Wittering,50.78076,-0.89572999
West Winterslow,51.08984,-1.67048
West Wickham,52.11715,0.35435
West Wickham,51.36667,-0.0166699997
West Wemyss,56.1402400,-3.08475
West Wellow,50.97273,-1.58293
Westwell,51.7881,-1.67699998
Westward Ho!,51.03883,-4.23806
Westward,54.7934606,-3.13059
West Walton,52.697820,0.17406
West Tofts,52.5011,0.70531
West Tisted,51.0590900,-1.06276
West Tilbury,51.47668,0.3895
West Thurrock,51.47828,0.276719997
West Thorney,50.815909999999995,-0.91048999
West Thirston,55.2949400,-1.70925998
West Tarbert,55.853420,-5.4396900
West Tanfield,54.20496,-1.58818
West Stratton,51.16075,-1.24467000
West Stow,52.3046,0.66708
West Stourmouth,51.31801,1.23339
West Stonesdale,54.4151300,-2.17117
West Stoke,50.86667,-0.81667
West Stockwith,53.4430000,-0.81361
West Scrafton,54.24821,-1.88900999
West Saltoun,55.896,-2.85996
Westruther,55.74199,-2.58452
West Runton,52.9376,1.24386
West Rudham,52.819170,0.69386
West Row,52.35117,0.46121
West Rounton,54.424720,-1.36466
West Raynham,52.79266,0.77641
West Ravendale,53.4817604,-0.151940000
West Rasen,53.3896,-0.404269996
West Rainton,54.8166705,-1.5
West Quantoxhead,51.16787,-3.27313
West Putford,50.91887,-4.33286
East Prawle,50.215309999999995,-3.70891996
West Pilton,55.966670,-3.25
West Pennard,51.14074,-2.64676
West Peckham,51.25246,0.336109996
West Parley,50.771209,-1.87892000
Westow,54.0775704,-0.84921
West Ord,55.75,-2.06667000
West Orchard,50.94775,-2.25319
Westonzoyland,51.1085400,-2.92843
Weston upon Trent,52.8333300,-2.03333
Weston upon Trent,52.84835,-1.40119
Weston Underwood,52.9792400,-1.56581000
Weston Underwood,52.14574,-0.73861999
Weston under Penyard,51.907785,-2.53690998
Weston under Lizard,52.69491,-2.28918
Weston Turville,51.79168,-0.75767
Weston-super-Mare,51.34603,-2.97665
Weston Subedge,52.05,-1.81667
Weston Point,53.32642,-2.75649000
Weston Patrick,51.2185,-1.014
Weston on the Green,51.86425,-1.22875
Weston on Avon,52.16514,-1.76837
Weston Lullingfields,52.8186900,-2.85460996
Weston in Gordano,51.46444,-2.79667
Westoning,51.9814,-0.496980000
Weston Corbett,51.21887,-1.01675
Weston,53.9166706,-1.73333
Weston,53.3166705,-2.73333
Weston,53.202320,-0.84093999
Weston,53.0666705,-2.4
Weston,52.85467,-2.64698
Weston,52.8050400,-0.08892
Weston,52.4333300,1.56667
Weston,52.11757,-1.14052
Weston,51.95471,-0.17035
Westoe,54.9884606,-1.41798999
West Norwood,51.43164,-0.10265
Westnewton,55.55,-2.15
West Myne,51.21667,-3.53333000
Westmuir,56.65,-3.03333
West Monkton,51.0494400,-3.05417
West Molesey,51.39985,-0.37997
City of Westminster,51.4975,-0.1357
Westmill,51.9257400,-0.0115900000
Westmeston,50.9069306,-0.09888
West Mersea,51.77798,0.91872999
West Meon,51.0124,-1.08833
West Melton,53.50415,-1.358
West Marton,53.9502205,-2.1633
West Malling,51.29273,0.40907
West Lydford,51.08222,-2.62222
West Lutton,54.11246,-0.57521
West Lulworth,50.62614,-2.24679000
West Looe,50.4,-4.41667
West Linton,55.7497206,-3.35607
Westley Waterless,52.18183,0.36671
Westley,52.25,0.66667
West Lexham,52.71781,0.72393000
Westleton,52.26469,1.57456
Westleigh,51.03333,-4.1833300
West Leake,52.833880,-1.21553
West Laroch,56.6666706,-5.15
West Langwell,58.05,-4.2
West Langdon,51.17665,1.31733
West Kyo,54.883330,-1.73333
West Knoyle,51.08782,-2.20762
West Kirby,53.37302,-3.18417
West Kington,51.49552,-2.27282000
West Kilbride,55.69004,-4.85771
West Kensington,51.4908305,-0.206680000
West Keal,53.1496,0.0478899995
West Kames,56.049609999999994,-5.34519000
Itchenor,50.805609999999994,-0.86688999
West Hythe,51.06589,1.02877
Westhouses,53.11622,-1.36927
Westhoughton,53.54899,-2.52464
West Horsley,51.2603306,-0.455630000
West Hoathly,51.077,-0.0550600000
Westhide,52.09463,-2.60596
West Heslerton,54.1722206,-0.60755
Westhead,53.562880,-2.84363
West Hauxwell,54.34134,-1.77078
West Hatch,50.98333,-3.0
West Hartlepool,54.6833300,-1.2
West Harting,50.98702,-0.8917
West Harptree,51.3091,-2.63175
West Hanningfield,51.6694700,0.50657
West Hanney,51.63389,-1.4138
Westhampnett,50.84811,-0.75033
West Ham,51.53333,0.0166699997
West Halton,53.6775204,-0.63006000
West Hallam,52.97093,-1.35846
West Hagbourne,51.5864605,-1.2612
West Haddon,52.34168,-1.07803999
West Grinstead,50.97429,-0.33204
West Grimstead,51.03927,-1.70085998
West Gorton,53.46825,-2.20165
West Gerinish,57.35,-7.35
